Name,Date,Site,Transect,Aux3,Aux4,Aux5,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments
G0684272.JPG,5/30/2016,3,4,,,,30,,,45,,,,,,,
G0684275.JPG,5/30/2016,3,4,,,,30,,,45,,,,,,,
G0684278.JPG,5/30/2016,3,4,,,,30,,,45,,,,,,,
G0684281.JPG,5/30/2016,3,4,,,,30,,,45,,,,,,,
G0684284.JPG,5/30/2016,3,4,,,,30,,,45,,,,,,,
G0684287.JPG,5/30/2016,3,4,,,,30,,,45,,,,,,,
G0694293.JPG,5/31/2016,4,1,,,,30,,,27,,,,,,,
G0694296.JPG,5/31/2016,4,1,,,,30,,,27,,,,,,,
G0694300.JPG,5/31/2016,4,1,,,,30,,,27,,,,,,,
G0694303.JPG,5/31/2016,4,1,,,,30,,,27,,,,,,,
G0694307.JPG,5/31/2016,4,1,,,,30,,,27,,,,,,,
G0694312.JPG,5/31/2016,4,1,,,,30,,,27,,,,,,,
G0694315.JPG,5/31/2016,4,1,,,,30,,,27,,,,,,,
G0694319.JPG,5/31/2016,4,1,,,,30,,,27,,,,,,,
G0694323.JPG,5/31/2016,4,1,,,,30,,,27,,,,,,,
G0694327.JPG,5/31/2016,4,1,,,,30,,,27,,,,,,,
G0704331.JPG,5/31/2016,4,2,,,,30,,,27,,,,,,,
G0704335.JPG,5/31/2016,4,2,,,,30,,,27,,,,,,,
G0704338.JPG,5/31/2016,4,2,,,,30,,,27,,,,,,,
G0704343.JPG,5/31/2016,4,2,,,,30,,,27,,,,,,,
G0704347.JPG,5/31/2016,4,2,,,,30,,,27,,,,,,,
G0704351.JPG,5/31/2016,4,2,,,,30,,,27,,,,,,,
G0704354.JPG,5/31/2016,4,2,,,,30,,,27,,,,,,,
G0704357.JPG,5/31/2016,4,2,,,,30,,,27,,,,,,,
G0704361.JPG,5/31/2016,4,2,,,,30,,,27,,,,,,,
G0704364.JPG,5/31/2016,4,2,,,,30,,,27,,,,,,,
G0714370.JPG,5/31/2016,4,3,,,,30,,,27,,,,,,,
G0714376.JPG,5/31/2016,4,3,,,,30,,,27,,,,,,,
G0714379.JPG,5/31/2016,4,3,,,,30,,,27,,,,,,,
G0714383.JPG,5/31/2016,4,3,,,,30,,,27,,,,,,,
G0714388.JPG,5/31/2016,4,3,,,,30,,,27,,,,,,,
G0714393.JPG,5/31/2016,4,3,,,,30,,,27,,,,,,,
G0714397.JPG,5/31/2016,4,3,,,,30,,,27,,,,,,,
G0714400.JPG,5/31/2016,4,3,,,,30,,,27,,,,,,,
G0714405.JPG,5/31/2016,4,3,,,,30,,,27,,,,,,,
G0714413.JPG,5/31/2016,4,3,,,,30,,,27,,,,,,,
G0724421.JPG,5/31/2016,4,4,,,,30,,,27,,,,,,,
G0724425.JPG,5/31/2016,4,4,,,,30,,,27,,,,,,,
G0724429.JPG,5/31/2016,4,4,,,,30,,,27,,,,,,,
G0724434.JPG,5/31/2016,4,4,,,,30,,,27,,,,,,,
G0724440.JPG,5/31/2016,4,4,,,,30,,,27,,,,,,,
G0724443.JPG,5/31/2016,4,4,,,,30,,,27,,,,,,,
G0724446.JPG,5/31/2016,4,4,,,,30,,,27,,,,,,,
G0724454.JPG,5/31/2016,4,4,,,,30,,,27,,,,,,,
G0724457.JPG,5/31/2016,4,4,,,,30,,,27,,,,,,,
G0724463.JPG,5/31/2016,4,4,,,,30,,,27,,,,,,,
G0734471.JPG,06-01-16,5,1,,,,30,,,30,,,,,,,
G0734475.JPG,06-01-16,5,1,,,,30,,,30,,,,,,,
G0734479.JPG,06-01-16,5,1,,,,30,,,30,,,,,,,
G0734483.JPG,06-01-16,5,1,,,,30,,,30,,,,,,,
G0734487.JPG,06-01-16,5,1,,,,30,,,30,,,,,,,
G0734496.JPG,06-01-16,5,1,,,,30,,,30,,,,,,,
G0734499.JPG,06-01-16,5,1,,,,30,,,30,,,,,,,
G0734503.JPG,06-01-16,5,1,,,,30,,,30,,,,,,,
G0734506.JPG,06-01-16,5,1,,,,30,,,30,,,,,,,
G0734510.JPG,06-01-16,5,1,,,,30,,,30,,,,,,,
G0744515.JPG,06-01-16,5,2,,,,30,,,30,,,,,,,
G0744518.JPG,06-01-16,5,2,,,,30,,,30,,,,,,,
G0754522.JPG,06-01-16,5,2,,,,30,,,30,,,,,,,
G0754525.JPG,06-01-16,5,2,,,,30,,,30,,,,,,,
G0754530.JPG,06-01-16,5,2,,,,30,,,30,,,,,,,
G0754533.JPG,06-01-16,5,2,,,,30,,,30,,,,,,,
G0754539.JPG,06-01-16,5,2,,,,30,,,30,,,,,,,
G0754543.JPG,06-01-16,5,2,,,,30,,,30,,,,,,,
G0754546.JPG,06-01-16,5,2,,,,30,,,30,,,,,,,
G0754552.JPG,06-01-16,5,2,,,,30,,,30,,,,,,,
G0754554.JPG,06-01-16,5,2,,,,30,,,30,,,,,,,
G0764566.JPG,06-01-16,5,3,,,,30,,,30,,,,,,,
G0764569.JPG,06-01-16,5,3,,,,30,,,30,,,,,,,
G0764574.JPG,06-01-16,5,3,,,,30,,,30,,,,,,,
G0764581.JPG,06-01-16,5,3,,,,30,,,30,,,,,,,
G0764584.JPG,06-01-16,5,3,,,,30,,,30,,,,,,,
G0764588.JPG,06-01-16,5,3,,,,30,,,30,,,,,,,
G0764592.JPG,06-01-16,5,3,,,,30,,,30,,,,,,,
G0764596.JPG,06-01-16,5,3,,,,30,,,30,,,,,,,
G0764600.JPG,06-01-16,5,3,,,,30,,,30,,,,,,,
G0764603.JPG,06-01-16,5,3,,,,30,,,30,,,,,,,
G1066054.JPG,6/13/2016,5,4,,,,30,,,27,,,,,,,
G1066057.JPG,6/13/2016,5,4,,,,30,,,27,,,,,,,
G1066069.JPG,6/13/2016,5,4,,,,30,,,27,,,,,,,
G1066074.JPG,6/13/2016,5,4,,,,30,,,27,,,,,,,
G1066080.JPG,6/13/2016,5,4,,,,30,,,27,,,,,,,
G1066084.JPG,6/13/2016,5,4,,,,30,,,27,,,,,,,
G1066088.JPG,6/13/2016,5,4,,,,30,,,27,,,,,,,
G1066095.JPG,6/13/2016,5,4,,,,30,,,27,,,,,,,
G1066100.JPG,6/13/2016,5,4,,,,30,,,27,,,,,,,
G1066103.JPG,6/13/2016,5,4,,,,30,,,27,,,,,,,
G1076112.JPG,6/13/2016,5,5,,,,30,,,27,,,,,,,
G1076118.JPG,6/13/2016,5,5,,,,30,,,27,,,,,,,
G1076121.JPG,6/13/2016,5,5,,,,30,,,27,,,,,,,
G1076125.JPG,6/13/2016,5,5,,,,30,,,27,,,,,,,
G1076134.JPG,6/13/2016,5,5,,,,30,,,27,,,,,,,
G1076141.JPG,6/13/2016,5,5,,,,30,,,27,,,,,,,
G1076149.JPG,6/13/2016,5,5,,,,30,,,27,,,,,,,
G1076155.JPG,6/13/2016,5,5,,,,30,,,27,,,,,,,
G1076161.JPG,6/13/2016,5,5,,,,30,,,27,,,,,,,
G1076167.JPG,6/13/2016,5,5,,,,30,,,27,,,,,,,
G1086178.JPG,6/13/2016,5,6,,,,30,,,27,,,,,,,
G1086188.JPG,6/13/2016,5,6,,,,30,,,27,,,,,,,
G1086196.JPG,6/13/2016,5,6,,,,30,,,27,,,,,,,
G1086199.JPG,6/13/2016,5,6,,,,30,,,27,,,,,,,
G1086204.JPG,6/13/2016,5,6,,,,30,,,27,,,,,,,
G1086209.JPG,6/13/2016,5,6,,,,30,,,27,,,,,,,
G1096214.JPG,6/13/2016,5,6,,,,30,,,27,,,,,,,
G1096224.JPG,6/13/2016,5,6,,,,30,,,27,,,,,,,
G1096228.JPG,6/13/2016,5,6,,,,30,,,27,,,,,,,
G1096232.JPG,6/13/2016,5,6,,,,30,,,27,,,,,,,
G0774615.JPG,06-02-16,6,1,,,,30,,,35,,,,,,,
G0774619.JPG,06-02-16,6,1,,,,30,,,35,,,,,,,
G0774621.JPG,06-02-16,6,1,,,,30,,,35,,,,,,,
G0774626.JPG,06-02-16,6,1,,,,30,,,35,,,,,,,
G0774629.JPG,06-02-16,6,1,,,,30,,,35,,,,,,,
G0774633.JPG,06-02-16,6,1,,,,30,,,35,,,,,,,
G0774638.JPG,06-02-16,6,1,,,,30,,,35,,,,,,,
G0774641.JPG,06-02-16,6,1,,,,30,,,35,,,,,,,
G0774645.JPG,06-02-16,6,1,,,,30,,,35,,,,,,,
G0774649.JPG,06-02-16,6,1,,,,30,,,35,,,,,,,
G0784656.JPG,06-02-16,6,2,,,,30,,,35,,,,,,,
G0784662.JPG,06-02-16,6,2,,,,30,,,35,,,,,,,
G0784666.JPG,06-02-16,6,2,,,,30,,,35,,,,,,,
G0784670.JPG,06-02-16,6,2,,,,30,,,35,,,,,,,
G0784675.JPG,06-02-16,6,2,,,,30,,,35,,,,,,,
G0794681.JPG,06-02-16,6,2,,,,30,,,35,,,,,,,
G0794684.JPG,06-02-16,6,2,,,,30,,,35,,,,,,,
G0794687.JPG,06-02-16,6,2,,,,30,,,35,,,,,,,
G0794690.JPG,06-02-16,6,2,,,,30,,,35,,,,,,,
G0794696.JPG,06-02-16,6,2,,,,30,,,35,,,,,,,
G0804708.JPG,06-02-16,6,3,,,,30,,,35,,,,,,,
G0804711.JPG,06-02-16,6,3,,,,30,,,35,,,,,,,
G0804715.JPG,06-02-16,6,3,,,,30,,,35,,,,,,,
G0804719.JPG,06-02-16,6,3,,,,30,,,35,,,,,,,
G0804722.JPG,06-02-16,6,3,,,,30,,,35,,,,,,,
G0804725.JPG,06-02-16,6,3,,,,30,,,35,,,,,,,
G0804729.JPG,06-02-16,6,3,,,,30,,,35,,,,,,,
G0804733.JPG,06-02-16,6,3,,,,30,,,35,,,,,,,
G0804735.JPG,06-02-16,6,3,,,,30,,,35,,,,,,,
G0804738.JPG,06-02-16,6,3,,,,30,,,35,,,,,,,
G0804744.JPG,06-02-16,6,3,,,,30,,,35,,,,,,,
G0814749.JPG,06-02-16,6,4,,,,30,,,35,,,,,,,
G0814756.JPG,06-02-16,6,4,,,,30,,,35,,,,,,,
G0814760.JPG,06-02-16,6,4,,,,30,,,35,,,,,,,
G0814764.JPG,06-02-16,6,4,,,,30,,,35,,,,,,,
G0814768.JPG,06-02-16,6,4,,,,30,,,35,,,,,,,
G0814772.JPG,06-02-16,6,4,,,,30,,,35,,,,,,,
G0814778.JPG,06-02-16,6,4,,,,30,,,35,,,,,,,
G0814782.JPG,06-02-16,6,4,,,,30,,,35,,,,,,,
G0814785.JPG,06-02-16,6,4,,,,30,,,35,,,,,,,
G0814788.JPG,06-02-16,6,4,,,,30,,,35,,,,,,,
