name,functional_group,Label
Bleached_Partial_Alveopora_Sub-massive,hard_coral,BlPtAlvSM
Bleached_Partial_Astreopora_Encrusting,hard_coral,BlPAstrEnc
Bleached_Partial_Astreopora_Sub-Massive,hard_coral,BlPAstrSM
Bleached_Partial_Astreopora_Tabulate,hard_coral,BlPAstrTab
Bleached_Partial_Coscinarea_Encrusting,hard_coral,BlPtCosEnc
Bleached_Partial_Cyphastrea_Sub-Massive,hard_coral,BlPtCypSM
Bleached_Partial_Echinophyllia_Encrusting,hard_coral,BlPtEchEnc
Bleached_Partial_Echinopora_Foliose,hard_coral,BlPtEchFol
Bleached_Partial_Favia_Encrusting,hard_coral,BlPtFavEnc
Bleached_Partial_Favia_Sub-massive,hard_coral,BlPtFavSM
Bleached_Partial_Favites_Encrusting,hard_coral,BlPtFaviEn
Bleached_Partial_Favites_Sub-massive,hard_coral,BlPtFaviSM
Bleached_Partial_Isopora_Columnar,hard_coral,BlPtIsoCol
Bleached_Partial_Isopora_Encrusting,hard_coral,BlPtIsoEnc
Bleached_Partial_Isopora_Sub-Massive,hard_coral,BlPtIsoSM
Bleached_Partial_Leptastrea_Encrusting,hard_coral,BlPtLepEnc
Bleached_Partial_Leptastrea_Sub-Massive,hard_coral,BlPtLepSM
Bleached_Partial_Leptoseris_Branching,hard_coral,BlPtLepBr
Bleached_Partial_Leptoseris_Encrusting,hard_coral,BlPtLepEn
Bleached_Partial_Lobophyllia_Foliose,hard_coral,BlPtMerFol
Bleached_Partial_Lobophyllia_Sub-Massive,hard_coral,BlPtLobSM
Bleached_Partial_Montastrea_Encrusting,hard_coral,BlPtMonEnc
Bleached_Partial_Montastrea_Sub-Massive,hard_coral,BlPtMonSM
Bleached_Partial_Montipora_Encrusting,hard_coral,BlPtMontEn
Bleached_Partial_Montipora_Sub-Massive,hard_coral,BlPtMontSM
Bleached_Partial_Montipora_Tabulate,hard_coral,BlPtMontTb
Bleached_Partial_Pavona_Sub-Massive,hard_coral,BlPtPavSM
Bleached_Partial_Platygyra_Sub-Massive,hard_coral,BlPtPlatSM
Bleached_Partial_Porites_Encrusting,hard_coral,BlPtPorEnc
Bleached_Partial_Porites_Sub-Massive,hard_coral,BlPtPorSM
Bleached_Partial_Seriatopora_Branching,hard_coral,BlPtSerBr
Bleached_Partial_Stony_Coral_Encrusting,hard_coral,BlPtCorEnc
Bleached_Partial_Stylophora_pistillata,hard_coral,BlPtSpis
Bleached_Partial_Syphyliia_Encrusting,hard_coral,BlPtSyphEn
Bleached_Partial_Turbinaria_Encrusting,hard_coral,BlPtTurbEn
Bleached_Partial_Turbinaria_Foliose,hard_coral,BlPTurbFol
Bleached_Patial_Goniastrea_Sub-massive,hard_coral,BlPtGoniSM
Bleached_Patial_Goniopora_Sub-massive,hard_coral,BlPtGonSM
Bleached_Patial_Heteropsammia_cochlea,hard_coral,BlPtHetcFL
Bleached_Pavona,hard_coral,Bpav
Bleached_Pavona_Sub-Massive,hard_coral,BlPavSM
Bleached_Pectinia,hard_coral,B_Pec
Bleached_Pectinia_-_unidentified_plating,hard_coral,B_PEC-UP
Bleached_Platygyra,hard_coral,B_Plat
Bleached_Platygyra_ryukyuensis,hard_coral,B_Pryu
Bleached_Platygyra_Sub-Massive,hard_coral,BlPlatSM
Bleached_Plesiastrea,hard_coral,B_Ples
Bleached_Pocillopora,hard_coral,Blpocill
Bleached_Pocillopora_damacornis,hard_coral,BPDAM
Bleached_Pocillopora_meandrina,hard_coral,B_PMEAN
Bleached_Podabacia_Foliose,hard_coral,BlPodFol
Bleached_Porites,hard_coral,B_Porit
Bleached_Porites_compressa,hard_coral,BPCOM
Bleached_Porites_cylindrica,hard_coral,B_Pcyl
Bleached_Porites_Encrusting,hard_coral,BlPorEnc
Bleached_Porites_encrusting-plates,hard_coral,POR_EP_B
Bleached_Porites_nodular_brnaches,hard_coral,POR_NOD_B
Bleached_Porites_Sub-Massive,hard_coral,BlPorSM
Bleached_Poritidae_branching,hard_coral,POR_BRA_B
Bleached_Poritidae_massive,hard_coral,POR-MASS-B
Bleached_Psammocora,hard_coral,B_Psam
Bleached_Pt_Blastomussa_Sub-Massive,hard_coral,BlPtBlasSM
Bleached_Pt_Coscinarea_Sub-Massive,hard_coral,BlPtCoscSM
Bleached_Seratiopora_hystrix,hard_coral,B_Shys
Bleached_Seriatopora,hard_coral,BlSeri
Bleached_Seriatopora_Branching,hard_coral,BlSerBr
Bleached_Siderastrea,hard_coral,B_SID
Bleached_Siderastreidae,hard_coral,BSider
Bleached_Stony_Coral_Encrusting,hard_coral,BlCorEnc
Bleached_Stylophora,hard_coral,Bsty
Bleached_Stylophora_pistillata,hard_coral,B_Spis
Bleached_Symphyllia,hard_coral,bsymph
Bleached_Syphyliia_Encrusting,hard_coral,BlSyphEnc
Bleached_Turbinarea,hard_coral,B_TURB
Bleached_Turbinaria_Encrusting,hard_coral,BlTurbEn
Bleached_Turbinaria_Foliose,hard_coral,BlTurbFol
Bleaching,hard_coral,BLC
Bleaching_encrusting_Montipora,hard_coral,B_MOEN
Bleaching_Favia_speciosa,hard_coral,B_FaviaS
Bleaching_Favia_stelligera,hard_coral,B_FaviaSt
Bleaching_Favites_halicora,hard_coral,B_FavHal
Bleaching_foliose_Montipora,hard_coral,B_MOFO
Bleaching_Herpolitha,hard_coral,B_Herpo
Bleaching_Hydnophora,hard_coral,B_HYDNO
Bleaching_Hydnophora_Exesa,hard_coral,B_HyExe
Bleaching_Leptastrea,hard_coral,B_Lepta
Bleaching_leptoseris,hard_coral,B_Lepto
Bleaching_Montastrea,hard_coral,B_Monta
Bleaching_Palythoa,hard_coral,B_Paly
Bleaching_Pavona_duerdeni,hard_coral,B_PaveDUER
Bleaching_Pavona_varians,hard_coral,B_PVAR
Bleaching_Pocillopora_eydouxi,hard_coral,B_PEYDO
BRA:_Acropora_Bottlebrush,hard_coral,BRA_BOT_Ac
BRA:_Acropora_Branching,hard_coral,BRA_ARB_Ac
Branching_bleached,hard_coral,BRA_BLC
Branching_Porites,hard_coral,BRA_SMO_Po
Branching_Stylophora,hard_coral,BRA_RND_St
BRA:_Other,hard_coral,BRA_OTH
BRA:_Other_Bleached_(white),hard_coral,BRA_OTH-B*
Brown_rice_coral-Algal_overgrowth,hard_coral,BrAlgaeOve
Brown_rice_coral-Bleached,hard_coral,BrBleached
Brown_rice_coral-Healthy,hard_coral,BrHealthy
Brown_rice_coral-Tissue_loss,hard_coral,BrTissueLo
Brown_rice_coral-Trematodiasis,hard_coral,BrPimple
Bryozoa:_Hard:Branching,hard_coral,BHBr
Bryozoa:_Hard:_Branching:_Adenolopsis_sp.,hard_coral,BHBAS
Bryozoa:_Hard:_Fenestrate:_Adeona_grisea,hard_coral,BHFAG
Bryozoa:_Hard:_Fenestrate:_Fenestrate_Bryozoa,hard_coral,BHFFB
Bryozoa:_Hard:_Massive:_Celleporaria,hard_coral,BHMC
Bryozoa:_Soft:Dendroid,hard_coral,BSDr
Bryozoa:_Soft:_Dendroid:_Flustridae,hard_coral,BSDF
Bryozoa:_Soft:_Foliaceous:,hard_coral,FSB
Bubble_Coral,hard_coral,MASE_MEA_P
Bushy_Hard_Coral,hard_coral,BHC
Caulastrea,hard_coral,Caula
Cauliflower_coral-Algal_overgrowth,hard_coral,CauAlgae
Cauliflower_coral-Bleached,hard_coral,CauBleach
Cauliflower_coral-Healthy,hard_coral,CauHealthy
Cauliflower_coral-Pink_pimple,hard_coral,CauPimple
Cauliflower_coral-TIssue_loss,hard_coral,CauTissueL
Cirrhipathes_sp.,hard_coral,Cirr
Cladocora_abruscula,hard_coral,CLAABR
Cladocora_caespitosa,hard_coral,CLADO
Cnatans,hard_coral,CNAT
Cnidarian,hard_coral,Cndi
Cnidarian_Tubastrea,hard_coral,Cnd
Colpophyllia_breviserialis,hard_coral,COB
Colpophyllia_natans,hard_coral,CON
Columnar_Hard_Coral,hard_coral,CHC
Columnar_Hard_Corals,hard_coral,COL
Coral,hard_coral,Coral
"Coral:_massive,_sub-massive,_encrusting",hard_coral,MSE-HC
Coral:_meandroid,hard_coral,MEA-HC
Corals:_Stony_corals,hard_coral,CSC
Corals:_Stony_corals:Bottlebrush,hard_coral,CBTB
Corals:_Stony_corals:_Branching,hard_coral,CBR
Corals:_Stony_corals:_Columnar,hard_coral,CCOL
Corals:_Stony_corals:_Corymbose,hard_coral,CCOR
Corals:_Stony_corals:_Digitate,hard_coral,CDIG
Corals:_Stony_corals:_Encrusting,hard_coral,CEN
Corals:_Stony_corals:_Foliose,hard_coral,CFOL
Corals:_Stony_corals:_Massive,hard_coral,CMAS
Corals:_Stony_corals:_Solitary_/_mushroom,hard_coral,CSO
Corals:_Stony_corals:_Solitary_/_mushroom:_At,hard_coral,CSOA
Corals:_Stony_corals:_Solitary_/_mushroom:_Fr,hard_coral,CSOFL
Corals:_Stony_corals:_Staghorn,hard_coral,CSTAG
Corals:_Stony_corals:_Sub-massive,hard_coral,CSM
Corals:_Stony_corals:_Tabulate,hard_coral,CTAB
Coscinaraea_columna,hard_coral,CoCol
Coscinaraea_monile,hard_coral,CosMon
Coscinarea,hard_coral,COSC
Coscinarea_Encrusting,hard_coral,CoscEnc
Coscinarea_Sub-Massive,hard_coral,CoscSM
CRED-Acanthastrea_spp,hard_coral,*ACAS
CRED-Acropora_spp_branching,hard_coral,*ACBR
CRED-Acropora_spp_tabulate,hard_coral,*ACTA
CRED-Astreopora_spp,hard_coral,*ASSP
CRED-Branching_hard_coral,hard_coral,*BR
CRED-Columnar_hard_coral,hard_coral,*COL
CRED-Coscinaraea_spp,hard_coral,*COSP
CRED-Cyphastrea_spp,hard_coral,*CYPS
CRED-Diploastrea_spp,hard_coral,*DISP
CRED-Echinophyllia_spp,hard_coral,*ECHL
CRED-Echinopora_spp,hard_coral,*ECHP
CRED-Encrusting_hard_coral,hard_coral,*ENC
CRED-Euphyllia_spp,hard_coral,*EUSP
CRED-Favia_spp,hard_coral,*FASP
CRED-Favites_spp,hard_coral,*FAVS
CRED-Foliose_hard_coral,hard_coral,*FOL
CRED-Free-living_hard_coral,hard_coral,*FREE
CRED-Fungia_spp,hard_coral,*FUSP
